,label,sentence
0,shame,"this is an event i will never forget i am considered a good mimic this particular day we were waiting for a professor to take her class this professor had a peculiar accent and a very horrible way of lecturing and to top it all we had this class at the fag end of the day so this particular day i got into my element and started imitating the professor , and the professor entered the class right in the middle of it i was unaware of her presence , some of my friends tried to warn me but it was of no avail as i was too engrossed in mimicing then i suddenly noticed the silence and turned around to see her entering the class i do not know till today if she actually saw what i had been doing or she had completely ignored it through out that lecture i died of shame all the more shameful was the fact that she gave me a character certificate"
1,fear,"fights that i see in the middle of the street , robberies , fear of darkness when going home"
2,joy,when i met an old schhol friend ( school love ) who works in sk vde
3,anger,"i wanted to go to a friend of mine who had a party at the moment i wanted to leave , my father said i couldn ' t go because he needed me for some work in the afternoon"
4,joy,"when i passed standard 8 exams i jumped , rolled over the ground"
5,guilt,when i was scolded by my dad for bad behaviour
6,guilt,"i had planned a trip to the south during easter , together with a friend she was very sorry when i changed my mind and decided not to go after all"
7,guilt,the cat of my landlady escaped through the window which i had left open
8,fear,i was afraid before i went to the doctor ' s
9,sadness,the death of my guardian with whom i had stayed when i did my grade six
10,disgust,i was on a walk with my child when i met a drunk woman
11,joy,talking with a nice girl
12,anger,south korea cheating for gold medals
13,sadness,i saw a friend of mine who had suffered a very heavy contusion after an accident
14,shame,the day after the night i drank too much at a party
15,anger,most recently when the chairman at the new zeeland rugby union announced that the all blacks ' would accept the invitation of south africa to play rugby in that country
16,anger,when a girl left me
17,anger,i wanted to borrow lecture notes from a friend and he did not lend me them
18,joy,when i read the newspaper that morning i found my candidature number on the admission list of the chinese university i was satisfied and happy and the cumulative anxiety disappeared i only wanted to cry out that i had succeeded
19,sadness,when my grandmother died
20,sadness,i had cared for a horse for 2 years one day it was sold and i cried for several days because i was so sad
21,guilt,it happens to me quite often i can ' t describe a particular case
22,disgust,when my best friend started getting involved in my private affairs
23,shame,when i tried to hide a fact from a person for irrelevant reasons and considered such an attitude childish
24,joy,i most joyous moment was the day i got my marks i was very happy when i came to know about my marks at the m sc ( part i ) examination where i got 71 5 this was the highest marks i have ever scored in my life
25,anger,"when my father phoned me to come home from my vacation , since he no longer had the time to look after my garden and animals"
26,disgust,watching a tv documentary on seal clubbing
27,sadness,when the mother of a good friend of mine died
28,fear,"when i was at a boarding school at lusaka , the rhodesian soldiers came to bomb a house near our school and we saw the whole scene"
29,fear,car accident nearly occurred between us and drunk driver coming in opposite direction it missed us by approx 1 m and collided ( after rolling twice midair ) into nearby scrub
30,joy,when i passed successive exams to enter the school of medicine
31,fear,i was living with my brother and one day he went away on business and i was left alone to look after the house and the property at night thieves came and wanted to break into the house
32,fear,"when in a car accident where car was total wipe off ( wipe out , or write off )"
33,joy,"i won a car in a prize competition the moment i was informed about it , i felt joy"
34,fear,when i almost ran over a small boy who suddenly was in front of my car
35,joy,my girlfriend wrote to me telling me that she was four months pregnant and that i was responsible for the damages this made me happy as i longed to have a child to call mine
36,guilt,"i often feel guilty , and it has to do with other people , e g if i haven ' t visited my older relatives for a while"
37,shame,i did bad on a test i didn ' t study for
38,shame,a few days back i had to ask a professor a ridiculous question because i had lost at a game of cards and had to pay a forfeit
39,fear,when i came to know that my exams were on two successive days and that there was very little time ( about 9 10 hours ) to study in between
40,joy,at a friend ' s birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends
41,guilt,that i didn ' t want my friend to leave on holiday for 10 days because i thought i would miss him i was constantly trying to persuade him
42,shame,"i was catched when , as a little girl , i played tricks i was very startled then and wet my pants"
43,disgust,a boy in my class talking too loud in the lecture
44,guilt,"i was on a visit to friends who have a baby the baby was crying in another room , but soon it became quieter and it seemed that it would fall asleep i went into the room where the baby was lying and it started crying again"
45,joy,when we got a young dog
46,disgust,i was disgusted with my girlfriend ' s behaviour she was going out with other boys who were also my friends
47,shame,"at the seaside , when a wave suddenly came and took off my bikini"
48,anger,i felt angry when i saw on t v the last slaughter of negroes in south africa
49,guilt,i felt guilty because i stole some sweets from my father ' s grocery when he asked me who stole the sweets i told him it was my brother who stole the sweets and he was scolded
50,joy,sitting alone in a quiet room concentrating on things happening around me which pleases me
51,joy,when my boyfriend once again told me that he loved me after a period in which he felt very depressive
52,joy,it was when a friend took me to a place and gave me as a gift my astrologycal map with the explanations of a psychologist
53,fear,few years ago my father was very ill he stayed at a hospital for a long time then i experienced that terrible feeling that i might lose him
54,guilt,when i betrayed my former girlfriend
55,anger,"a person ignored my advice , did not pay any attention to what was saying she acted as though i wasn ' t even there we were doing group work so everybody had the right to speak yet she just ignored me she made me feel insignificant"
56,joy,an ex colleague asked me if i was interested in working in their accounts bureau they needed clever people and he had immediately thought of me
57,fear,once i had to go home on foot at 5 a m i had to pass through a forest and i was going alone
58,disgust,no response
59,guilt,having an affair with my good friend ' s best friend and every time i see my best friend i feel guilt because we can ' t tell him
60,shame,when my boy friend left me and i wanted to persuade him to stay
61,anger,being hooted at when i was learning to drive
62,anger,someone who was speeding was forced to slow down when i pulled out onto the road and proceeded to abuse me at the next set of traffic lights
63,guilt,my mother wants to talk very often about her life i dislike this because she always talks negatively about the same people whatever i do it doesn ' t help
64,disgust,i felt disgusted at my teams poor perfomance prior to league play
65,anger,i had gone on a vacation and my mother left home without leaving me any thing money to come back to school
66,anger,i was sleeping nicely until in the middle of the night when i became awake because a friend called me for some ( in my opinion ) nonsens reason
67,disgust,"once i offended a friend , instead of her coming to me to ask and discuss the matter she was just telling other people about it and say all she could about me"
68,guilt,when one lets friends down
69,joy,when i first passed a job interview
70,fear,before going to the dentist
71,disgust,when i noticed that a nice person was being exploited economically
72,shame,"if i don ' t go to lectures , i often feel ashamed"
73,fear,a gang of screaming and drunk youths captured a tram
74,joy,when a friend of me came for an unexpected visit
75,sadness,my father died last year after an 8 week severe illness
76,sadness,"loneliness , being uncertain of myself in the autumn"
77,shame,at an exam in pharmacology i tried to prompt a coleague ( she asked me something ) and the assistant professor made me a sharp remark
78,disgust,some time ago i was disgusted with the cleanness of the refectory of our institute
79,disgust,"while reading olli jalonen ' s new book , the distant , cold and selfish relationships between people ( in the book ) made me feel disgusted"
80,anger,i was drawn up a statement for an infringement of the traffic ordinance in fact i was innocent
81,fear,before the examn
82,disgust,"at a certain person ' s lack of cleanliness , at home and personally"
83,anger,when i got home i found that the electrical supply had been disconnected despite my having paid zesco the full bill a few days earlier
84,joy,"winning a race that i had been training for , for many weeks ( running race )"
85,shame,"a few months back i had gone to my friend ' s place and they offered me tea and coffee i do not have the habit of drinking tea or coffee and so they offered me a glass of milk instead , so i felt ashamed"
86,fear,"before an exam which i , finally did not take"
87,anger,when we rearranged furniture in our flat and got stuck in a chair
88,guilt,i had promised to send something to a friend and it completely slipped my mind i felt guilty for having forgotten
89,fear,when i decided to separate from my husband
90,fear,many years ago i saw the film psycho by hitchcock for the first time when i saw the film i was alone and afterwards i hardly dared to go to bed and hardly was able to sleep
91,disgust,"reading about executions and massacres which happened during world war ii , i felt disgust towards those who did it"
